#chrom	chromStart	chromEnd	name	score
NC_045512v2	28591	28594	Complete loss of RNA-binding.	mutation
NC_045512v2	27747	27750	Complete loss of ubiquitination. Partial loss of interferon pathway inhibition.	mutation
NC_045512v2	22918	22921	Decreased HLA binding to NF9 epitope. Increased binding affinity to human ACE2.	mutation
NC_045512v2	27381	27384	Does not affect repression of reporter protein expression.	mutation
NC_045512v2	25372	25375	Improved COPI binding, reduced cell fusion and reduced levels of S1/S2 cleavage.	mutation
NC_045512v2	23401	23404	Increase of pseudotyped VSV particle production ex vivo. Increase of viral load in hamster upper respiratory tract. Produces more infectious particles when cultured in primary human epithelial cells; increases replication and transmissibility in hamsters and ferrets.	mutation
NC_045512v2	23062	23065	Increased binding affinity to human ACE2.	mutation
NC_045512v2	5176	5179	Increased cleavage of ubiquitin in vitro; no effect on ISG15 cleavage in vitro.	mutation
NC_045512v2	21766	21772	Increased incorporation of cleaved spike into virions.	mutation
NC_045512v2	23116	23119	Increased resistance to human covalescent sera neutralization.	mutation
NC_045512v2	23029	23032	Increased resistance to neutralizing antibodies and human covalescent sera neutralization.	mutation
NC_045512v2	22261	22264	Increased resistance to neutralizing antibodies.	mutation
NC_045512v2	22984	22987	Increased resistance to neutralizing antibodies.	mutation
NC_045512v2	23008	23011	Increased resistance to neutralizing antibodies.	mutation
NC_045512v2	22915	22918	Increased resistance to neutralizing antibodies. Decreases HLA binding to NF9 epitope. Increased binding affinity to human ACE2.	mutation
NC_045512v2	27312	27384	Loss of interaction with human NUP98-RAE1 complex which suppresses the down-regulation of protein expression of newly transcribed genes in the host cell.	mutation
NC_045512v2	27348	27384	Loss of interaction with human NUP98-RAE1 complex which suppresses the down-regulation of protein expression of newly transcribed genes in the host cell.	mutation
NC_045512v2	27372	27375	Loss of interaction with human NUP98-RAE1 complex which suppresses the mRNA accumulation in the nucleus, the down-regulation of protein expression of newly transcribed genes in the host cell and blockade on nuclear import on a broad range of host factors.	mutation
NC_045512v2	25560	25563	No effect on ion permeability.	mutation
NC_045512v2	23578	23581	No effect on O-glycosylation by host GALNT1.	mutation
NC_045512v2	23599	23602	No effect on O-glycosylation by host GALNT1.	mutation
NC_045512v2	28834	28837	No effect on phosphorylation.	mutation
NC_045512v2	23602	23614	Optimized cleavage by host furin.	mutation
NC_045512v2	23611	23614	Partial improvement of cleavage by host furin.	mutation
NC_045512v2	28879	28885	Partial increase of pathogenesis and fitness in vivo. No effect on virus replication ex vivo.	mutation
NC_045512v2	21922	21925	Partial loss of biliverdin affinity.	mutation
NC_045512v2	22129	22132	Partial loss of biliverdin affinity.	mutation
NC_045512v2	25560	25566	Partial loss of Ca(2+) and NMDG(+) permeability.	mutation
NC_045512v2	25737	25740	Partial loss of Ca(2+) and NMDG(+) permeability.	mutation
NC_045512v2	25392	25515	Partial loss of Ca(2+) and NMDG(+) permeability. Increased localization at host plasma membrane.	mutation
NC_045512v2	27962	27965	Partial loss of hIL-17RC binding.	mutation
NC_045512v2	28076	28079	Partial loss of hIL-17RC binding.	mutation
NC_045512v2	5149	5152	Partial loss of ISG15 cleavage in vitro.	mutation
NC_045512v2	5158	5161	Partial loss of ISG15 cleavage in vitro.	mutation
NC_045512v2	23587	23590	Partial loss of O-glycoslyation by host GALNT1.	mutation
NC_045512v2	28888	28891	Partial loss of phosphorylation.	mutation
NC_045512v2	28552	28555	Partial loss of RNA-binding.	mutation
NC_045512v2	28759	28762	Partial loss of RNA-binding.	mutation
NC_045512v2	28786	28789	Partial loss of RNA-binding.	mutation
NC_045512v2	5176	5179	Partial loss of ubiquitin cleavage in vitro; no effect on ISG15 cleavage in vitro.	mutation
NC_045512v2	23038	23041	Reduced host ACE2-binding affinity in vitro.	mutation
NC_045512v2	23038	23041	Reduced host ACE2-binding affinity in vitro.	mutation
NC_045512v2	23062	23065	Reduced host ACE2-binding affinity in vitro.	mutation
NC_045512v2	5755	5758	Reduced inhibition by GRL-0617.	mutation
NC_045512v2	22552	22555	Reduced viral infectivity.	mutation
NC_045512v2	22588	22591	Reduced viral infectivity.	mutation
NC_045512v2	16020	16023	Reduces RdRp inhibition by remdesivir.	mutation
NC_045512v2	27201	27249	Retains interaction with human NUP98-RAE1 complex. Increases down-regulation of protein expression of newly transcribed genes in host cell.	mutation
NC_045512v2	27264	27291	Retains interaction with human NUP98-RAE1 complex. Increases down-regulation of protein expression of newly transcribed genes in host cell.	mutation
NC_045512v2	28597	28600	Significant decrease of RNA binding capacity.	mutation
NC_045512v2	28792	28795	Significant increase of RNA-binding.	mutation
NC_045512v2	23605	23617	Stabilization in prefusion state (in vaccine Ad26.COV2.S/Janssen Pharmaceutical).	mutation
NC_045512v2	24517	24523	Stabilization in prefusion state (in vaccine BNT162b2/Pfizer-Biontech, vaccine mRNA-1273/Moderna, vaccine Ad26.COV2.S/Janssen Pharmaceutical).	mutation
NC_045512v2	5284	5287	Unable to remove host IFIH1 (MDA5) ISGylation.	mutation
NC_045512v2	802	808	PL-PRO_cleavage	cleavage
NC_045512v2	2716	2722	PL-PRO_cleavage	cleavage
NC_045512v2	8551	8557	PL-PRO_cleavage	cleavage
NC_045512v2	10051	10057	3CL-PRO_cleavage	cleavage
NC_045512v2	10969	10975	3CL-PRO_cleavage	cleavage
NC_045512v2	10969	10975	3CL-PRO_cleavage	cleavage
NC_045512v2	11839	11845	3CL-PRO_cleavage	cleavage
NC_045512v2	12088	12094	3CL-PRO_cleavage	cleavage
NC_045512v2	12682	12688	3CL-PRO_cleavage	cleavage
NC_045512v2	13021	13027	3CL-PRO_cleavage	cleavage
NC_045512v2	13438	13444	3CL-PRO_cleavage	cleavage
NC_045512v2	16233	16239	3CL-PRO_cleavage	cleavage
NC_045512v2	18036	18042	3CL-PRO_cleavage	cleavage
NC_045512v2	19617	19623	3CL-PRO_cleavage	cleavage
NC_045512v2	20655	20661	3CL-PRO_cleavage	cleavage
NC_045512v2	23614	23620	Furin-like_cleavage	cleavage
NC_045512v2	24004	24010	Fusion_peptide_cleavage	cleavage
